pid,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
10,6.948663045262883e-27,1.2836633170390246e-22,1.875713251543906e-18,5.568964939810159e-40,9.042803440726258e-25,2.0684305979281752e-38,1.579116142339254e-50,1.3631525763359563e-25,1.07114459536861e-22,0.9999999997948966
11,3.342685660762046e-24,2.1671769669993033e-17,2.418487898544839e-27,1.6527703299828063e-25,4.292708653337728e-39,0.9999999997650296,7.872659565034894e-40,1.628698453808035e-43,5.054023828023788e-35,4.080951585357975e-28
12,3.2241634546903236e-49,3.9015638073376145e-34,1.9832775764619432e-33,2.8918133356673133e-58,1.5789210906864176e-58,2.806294937501302e-46,0.9999999998038115,2.87869868049713e-32,5.13977226871642e-30,6.042146558311377e-44
13,3.7194632366953975e-43,4.8171770608768507e-57,7.572219614943356e-52,1.0497649418286063e-53,1.4918608579199595e-52,5.425536336917508e-35,2.156579711937418e-51,3.783148610775946e-65,0.9999999997227518,4.860591449709892e-27
14,4.7171061979339076e-48,4.476415786280715e-50,1.2322190795465556e-35,5.826459662145193e-44,4.467663337388386e-77,1.988026933556432e-64,4.1236632375428975e-30,0.9999999997978566,3.9492469002941717e-53,2.53465243209248e-57
15,2.781381734909055e-20,3.468546518285361e-38,2.054001967807088e-46,3.4357517193371886e-33,0.3046317050799546,0.6953682946418391,7.189310896194621e-21,1.256492605358448e-55,1.5611118272247304e-59,8.890839753617884e-40
16,4.6637428824489043e-32,2.362557392659117e-77,2.636753638289872e-60,8.253205100470139e-41,1.3812014190067743e-49,0.9999999997294917,8.589587839232508e-34,1.2501942649977993e-24,4.217141312088712e-36,3.169525524012854e-37
17,5.492339492293015e-33,8.562176495935706e-41,0.9999999997644716,6.33705358555726e-50,1.2652203606168345e-48,1.3629621639893023e-40,4.737048581225252e-59,3.022765003211275e-39,2.0901291315895195e-56,1.2059953967480557e-42
18,2.825365976949896e-36,3.3966913179441085e-43,3.5056929849551346e-32,3.05827263150772e-48,1.2283391091629054e-28,8.84608995688488e-48,3.640021395303075e-38,8.957616867486544e-33,0.9999999997465594,1.427655035755057e-31
19,3.159746223056636e-43,0.9999999996958917,7.276117563341467e-44,6.381259284829575e-61,6.837256369686051e-101,2.558765278933425e-68,7.985910766183382e-71,5.148085731557015e-60,2.3609178357756928e-42,6.87644464450305e-83
20,7.159725158234394e-25,4.2685282847263433e-13,2.684820409763401e-34,6.576137761549785e-39,2.5551614701111545e-45,2.9645749798080993e-37,1.602577534541559e-23,1.6847618057102978e-53,0.9999999997872688,2.6570196988822294e-48
21,7.238151125749961e-29,1.2321504643844379e-54,6.480707014395271e-42,2.9794094355101966e-24,4.721897499561662e-45,4.639305529300699e-31,4.90396055403708e-15,3.9794683730945834e-49,3.10729151849435e-35,0.9999999997944006
22,1.113808125964126e-32,6.209151872305012e-28,5.395031664088691e-40,2.8273719497552735e-55,5.42415193577783e-35,9.054595853140323e-36,1.2957965452743064e-38,0.9999999998558862,3.2429666027359824e-50,1.3493312791647003e-28
